dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
1220.0,-48.5,2244.5,47.37615433949868,2,1220.5
1222.0,-59.0,1352.0,36.76955262170047,2,1222.5
1227.0,-63.0,1922.0,43.840620433565945,2,1227.5
1229.0,-58.0,1458.0,38.18376618407357,2,1229.5
1231.0,-50.0,2048.0,45.254833995939045,2,1231.5
1238.0,-59.5,2380.5,48.79036790187178,2,1238.5
1240.0,-58.0,1458.0,38.18376618407357,2,1240.5
1243.0,-65.5,1624.5,40.30508652763321,2,1243.5
1244.0,-50.5,2520.5,50.204581464244875,2,1244.5
1247.0,-63.0,1568.0,39.59797974644666,2,1247.5
1249.0,-62.0,1682.0,41.012193308819754,2,1249.5
1251.0,-66.6,1408.8,37.5339846006256,5,1251.5
1252.0,-63.0,1568.0,39.59797974644666,2,1252.5
1258.0,-56.333333333333336,905.3333333333333,30.088757590391353,3,1258.5
1259.0,-49.0,2312.0,48.08326112068523,2,1259.5
1269.0,-34.0,0.0,0.0,1,1269.5
1274.0,-15.0,0.0,0.0,1,1274.5
1282.0,-61.5,924.5,30.405591591021544,2,1282.5
1285.0,-51.0,1250.0,35.35533905932738,2,1285.5
1289.0,-49.0,2048.0,45.254833995939045,2,1289.5
1294.0,-55.0,580.6666666666666,24.097026095903757,4,1294.5
1299.0,-49.75,786.9166666666666,28.052034982629454,4,1299.5
1302.0,-72.0,0.0,0.0,1,1302.5
1305.0,-70.0,0.0,0.0,1,1305.5
1309.0,-49.0,1058.0,32.526911934581186,2,1309.5
1311.0,-31.666666666666668,937.3333333333333,30.615900008546756,3,1311.5
1314.0,-55.0,834.0,28.879058156387302,4,1314.5
1315.0,-44.25,448.25,21.17191535974013,4,1315.5
1318.0,-44.5,1860.5,43.1335136523794,2,1318.5
1320.0,-50.0,634.0,25.179356624028344,4,1320.5
1323.0,-43.75,557.5833333333334,23.613202521753237,4,1323.5
1324.0,-56.666666666666664,1369.3333333333333,37.00450423034111,3,1324.5
1325.0,-51.333333333333336,620.3333333333334,24.906491790963525,3,1325.5
1327.0,-42.75,770.25,27.753378172755834,4,1327.5
1328.0,-51.0,578.0,24.041630560342615,2,1328.5
1329.0,-39.2,898.1999999999999,29.969984984981224,5,1329.5
1330.0,-51.0,532.0,23.065125189341593,6,1330.5
1331.0,-50.0,2738.0,52.32590180780452,2,1331.5
1332.0,-44.25,1220.25,34.93207694941714,4,1332.5
1333.0,-48.5,1245.6666666666667,35.29400326778852,4,1333.5
1334.0,-43.666666666666664,660.3333333333334,25.696951829610715,3,1334.5
1336.0,-58.5,312.5,17.67766952966369,2,1336.5
1337.0,-57.0,2178.0,46.66904755831214,2,1337.5
1339.0,-46.0,1800.0,42.42640687119285,2,1339.5
1340.0,-60.0,392.0,19.79898987322333,2,1340.5
1342.0,-57.5,2112.5,45.96194077712559,2,1342.5
1345.0,-60.0,392.0,19.79898987322333,2,1345.5
1346.0,-20.0,0.0,0.0,1,1346.5
1351.0,-57.5,1404.5,37.476659402887016,2,1351.5
1353.0,-53.0,2888.0,53.74011537017761,2,1353.5
1357.0,-56.5,2244.5,47.37615433949868,2,1357.5
1363.0,-53.0,2888.0,53.74011537017761,2,1363.5
1365.0,-62.5,1984.5,44.54772721475249,2,1365.5
1368.0,-22.0,0.0,0.0,1,1368.5
1373.0,-52.5,2964.5,54.44722215136416,2,1373.5
1375.0,-65.0,1682.0,41.012193308819754,2,1375.5
1385.0,-65.0,1682.0,41.012193308819754,2,1385.5
1386.0,-53.0,2888.0,53.74011537017761,2,1386.5
1396.0,-65.0,1682.0,41.012193308819754,2,1396.5
1397.0,-24.0,0.0,0.0,1,1397.5
1409.0,-60.0,2312.0,48.08326112068523,2,1409.5
1414.0,-23.0,0.0,0.0,1,1414.5
1430.0,-13.0,0.0,0.0,1,1430.5
1432.0,-24.0,0.0,0.0,1,1432.5
1446.0,-13.0,0.0,0.0,1,1446.5
1463.0,-13.0,0.0,0.0,1,1463.5
1469.0,-38.0,0.0,0.0,1,1469.5
1470.0,-24.0,0.0,0.0,1,1470.5
1487.0,-35.0,0.0,0.0,1,1487.5
1499.0,-16.0,0.0,0.0,1,1499.5
1508.0,-22.0,0.0,0.0,1,1508.5
1518.0,-14.0,0.0,0.0,1,1518.5
1524.0,-38.0,0.0,0.0,1,1524.5
1528.0,-24.0,0.0,0.0,1,1528.5
1538.0,-14.0,0.0,0.0,1,1538.5
1548.0,-24.0,0.0,0.0,1,1548.5
1559.0,-15.0,0.0,0.0,1,1559.5
1562.0,-39.0,0.0,0.0,1,1562.5
1569.0,-24.0,0.0,0.0,1,1569.5
1580.0,-17.0,0.0,0.0,1,1580.5
1590.0,-24.0,0.0,0.0,1,1590.5
1601.0,-46.0,0.0,0.0,1,1601.5
1609.0,-24.0,0.0,0.0,1,1609.5
1619.0,-35.0,0.0,0.0,1,1619.5
1620.0,-52.0,2888.0,53.74011537017761,2,1620.5
1627.0,-57.0,1800.0,42.42640687119285,2,1627.5
1637.0,-58.0,1682.0,41.012193308819754,2,1637.5
1639.0,-52.0,2888.0,53.74011537017761,2,1639.5
1644.0,-71.0,0.0,0.0,1,1644.5
1653.0,-53.0,1152.0,33.94112549695428,2,1653.5
1655.0,-44.5,1860.5,43.1335136523794,2,1655.5
1657.0,-48.5,924.5,30.405591591021544,2,1657.5
1665.0,-67.0,0.0,0.0,1,1665.5
1668.0,-31.666666666666668,497.3333333333333,22.300971578236975,3,1668.5
1674.0,-48.5,684.5,26.16295090390226,2,1674.5
1675.0,-36.5,840.5,28.991378028648448,2,1675.5
1678.0,-42.0,1682.0,41.012193308819754,2,1678.5
1681.0,-31.666666666666668,490.3333333333333,22.143471573656495,3,1681.5
1682.0,-50.0,800.0,28.284271247461902,2,1682.5
1685.0,-42.0,800.0,28.284271247461902,2,1685.5
1686.0,-41.5,1512.5,38.890872965260115,2,1686.5
1687.0,-53.333333333333336,521.0666666666666,22.82688473416087,6,1687.5
1689.0,-35.5,312.5,17.67766952966369,2,1689.5
1690.0,-38.0,0.0,0.0,1,1690.5
1691.0,-40.25,774.9166666666666,27.83732506306356,4,1691.5
1692.0,-56.0,360.6666666666667,18.991226044325487,4,1692.5
1693.0,-48.5,364.5,19.091883092036785,2,1693.5
1694.0,-63.833333333333336,615.3666666666667,24.806585147227878,6,1694.5
1695.0,-48.5,471.7142857142857,21.718984454027442,8,1695.5
1696.0,-48.0,0.0,0.0,1,1696.5
1697.0,-53.4,421.3,20.525593779474445,5,1697.5
1699.0,-49.5,1695.0,41.1703777004778,4,1699.5
1700.0,-54.0,839.2,28.96894889359985,6,1700.5
1701.0,-16.0,0.0,0.0,1,1701.5
1703.0,-41.5,1300.5,36.062445840513924,2,1703.5
1704.0,-58.5,1200.5,34.64823227814083,2,1704.5
1705.0,-40.5,1404.5,37.476659402887016,2,1705.5
1707.0,-84.0,0.0,0.0,1,1707.5
1708.0,-26.0,0.0,0.0,1,1708.5
1709.0,-55.5,2187.6666666666665,46.772499042350375,4,1709.5
1710.0,-39.0,0.0,0.0,1,1710.5
1713.0,-61.5,1012.5,31.81980515339464,2,1713.5
1717.0,-68.33333333333333,1350.3333333333333,36.74688195389281,3,1717.5
